prompt_id,split,split_rule
P004172,train,prompt_disjoint_v1
P003541,train,prompt_disjoint_v1
P001769,train,prompt_disjoint_v1
P000965,train,prompt_disjoint_v1
P002836,train,prompt_disjoint_v1
P003811,train,prompt_disjoint_v1
P003720,train,prompt_disjoint_v1
P000487,train,prompt_disjoint_v1
P006959,train,prompt_disjoint_v1
P006252,train,prompt_disjoint_v1
P000133,train,prompt_disjoint_v1
P001315,train,prompt_disjoint_v1
P000536,train,prompt_disjoint_v1
P000517,train,prompt_disjoint_v1
P005103,train,prompt_disjoint_v1
P001342,train,prompt_disjoint_v1
P001944,train,prompt_disjoint_v1
P000689,train,prompt_disjoint_v1
P003766,train,prompt_disjoint_v1
P006957,train,prompt_disjoint_v1
P004700,train,prompt_disjoint_v1
P001310,train,prompt_disjoint_v1
P007156,train,prompt_disjoint_v1
P004040,train,prompt_disjoint_v1
P005232,train,prompt_disjoint_v1
P001587,train,prompt_disjoint_v1
P004848,train,prompt_disjoint_v1
P006040,train,prompt_disjoint_v1
P006801,train,prompt_disjoint_v1
P002226,train,prompt_disjoint_v1
P005149,train,prompt_disjoint_v1
P000149,train,prompt_disjoint_v1
P000896,train,prompt_disjoint_v1
P000097,train,prompt_disjoint_v1
P005699,train,prompt_disjoint_v1
P004577,train,prompt_disjoint_v1
P000641,train,prompt_disjoint_v1
P004138,train,prompt_disjoint_v1
P000584,train,prompt_disjoint_v1
P003565,train,prompt_disjoint_v1
P001108,train,prompt_disjoint_v1
P000567,train,prompt_disjoint_v1
P001394,train,prompt_disjoint_v1
P000084,train,prompt_disjoint_v1
P001239,train,prompt_disjoint_v1
P002280,train,prompt_disjoint_v1
P003275,train,prompt_disjoint_v1
P001833,train,prompt_disjoint_v1
P002924,train,prompt_disjoint_v1
P007067,train,prompt_disjoint_v1
P003907,train,prompt_disjoint_v1
P006583,train,prompt_disjoint_v1
P004016,train,prompt_disjoint_v1
P006105,train,prompt_disjoint_v1
P000902,train,prompt_disjoint_v1
P000754,train,prompt_disjoint_v1
P006548,train,prompt_disjoint_v1
P004747,train,prompt_disjoint_v1
P005901,train,prompt_disjoint_v1
P006935,train,prompt_disjoint_v1
P003827,train,prompt_disjoint_v1
P003026,train,prompt_disjoint_v1
P001475,train,prompt_disjoint_v1
P001139,train,prompt_disjoint_v1
P001287,train,prompt_disjoint_v1
P006070,train,prompt_disjoint_v1
P005820,train,prompt_disjoint_v1
P001955,train,prompt_disjoint_v1
